SocialSecurityNumber,Name,CareOfAddress,StreetAddress,PostalCode,City,YearConcerned,SumReceivedInterest,PaidAmount,SumPreliminaryTax,SumPaidInterest,SumDebth,BalanceExists,SignSumReceivedInterest,SignSumPreliminaryTax,SignSumBalance,SignSumPaidInterest,SignSumDebth,SumBalance
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.92209E+11,GUNNAR JOHANSSON                        ,                                        ,FRUKTSTIGEN 31                          ,78193,BORLÄNGE,2022,0,0,0,1104,0,Y,+,+,+,+,+,0
1.92209E+11,GUNNAR JOHANSSON                        ,                                        ,FRUKTSTIGEN 31                          ,78193,BORLÄNGE,2022,0,0,0,1104,0,Y,+,+,+,+,+,0
1.92209E+11,GUNNAR JOHANSSON                        ,                                        ,FRUKTSTIGEN 31                          ,78193,BORLÄNGE,2022,0,0,0,1104,0,Y,+,+,+,+,+,0
1.92209E+11,GUNNAR JOHANSSON                        ,                                        ,FRUKTSTIGEN 31                          ,78193,BORLÄNGE,2022,0,0,0,1104,0,Y,+,+,+,+,+,0
1.92209E+11,GUNNAR JOHANSSON                        ,                                        ,FRUKTSTIGEN 31                          ,78193,BORLÄNGE,2022,0,0,0,1104,0,Y,+,+,+,+,+,0
1.92209E+11,GUNNAR JOHANSSON                        ,                                        ,FRUKTSTIGEN 31                          ,78193,BORLÄNGE,2022,0,0,0,1104,0,Y,+,+,+,+,+,0
1.92209E+11,GUNNAR JOHANSSON                        ,                                        ,FRUKTSTIGEN 31                          ,78193,BORLÄNGE,2022,0,0,0,1104,0,Y,+,+,+,+,+,0
1.92209E+11,GUNNAR JOHANSSON                        ,                                        ,FRUKTSTIGEN 31                          ,78193,BORLÄNGE,2022,0,0,0,1104,0,Y,+,+,+,+,+,0
1.93812E+11,Sven H Henriksson                       ,                                        ,Grantinge 5153                          ,28190,HÄSSLEHOLM,2022,2512,0,754,0,0,Y,+,+,+,+,+,0
1.93812E+11,Sven H Henriksson                       ,                                        ,Grantinge 5153                          ,28190,HÄSSLEHOLM,2022,2512,0,754,0,0,Y,+,+,+,+,+,0
1.93812E+11,Sven H Henriksson                       ,                                        ,Grantinge 5153                          ,28190,HÄSSLEHOLM,2022,2512,0,754,0,0,Y,+,+,+,+,+,0
1.93812E+11,Sven H Henriksson                       ,                                        ,Grantinge 5153                          ,28190,HÄSSLEHOLM,2022,2512,0,754,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
1.93907E+11,Sonja Andersson                         ,                                        ,Apelhult 1715                           ,34390,ÄLMHULT,2022,7586,0,1563,0,0,Y,+,+,+,+,+,0
2.01201E+11,WILLIAM KARLSSON                        ,                                        ,SKOLGATAN 25                            ,23454,BORÅS,2022,7815,0,2344,0,0,Y,+,+,+,+,+,0
2.01201E+11,WILLIAM KARLSSON                        ,                                        ,SKOLGATAN 25                            ,23454,BORÅS,2022,7815,0,2344,0,0,Y,+,+,+,+,+,0
2.01201E+11,WILLIAM KARLSSON                        ,                                        ,SKOLGATAN 25                            ,23454,BORÅS,2022,7815,0,2344,0,0,Y,+,+,+,+,+,0
2.01201E+11,WILLIAM KARLSSON                        ,                                        ,SKOLGATAN 25                            ,23454,BORÅS,2022,7815,0,2344,0,0,Y,+,+,+,+,+,0
